Client Client1 connected. 	 06/16/23 - 10:50:42 PM
Directory	 ADDED  	 06/16/23 - 10:50:42 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/denemeee
File    	 UPDATED	 06/16/23 - 10:50:42 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/Client3.log
File    	 UPDATED	 06/16/23 - 10:50:42 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/client1.txt
File    	 UPDATED	 06/16/23 - 10:50:44 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/Client3.log
File    	 UPDATED	 06/16/23 - 10:50:44 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/Client2.log
File    	 UPDATED	 06/16/23 - 10:51:30 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/client1.txt
File    	 UPDATED	 06/16/23 - 10:52:27 PM 		 /home/bulut/Desktop/repo/CSE344/final/Server/Client2.log
Client Client1 connected. 	 06/16/23 - 11:20:34 PM
